Year,Month,State,Location,Food,Ingredient,Species,Genus,Status,Illnesses,Hospitalizations,Fatalities
2005,June,Colorado,Restaurant,"Noodles, Unspecified; Quail, Unspecified",N/A,Campylobacter jejuni; Bacillus cereus,Campylobacter,Confirmed; Suspected,8,0,0
2005,July,Pennsylvania,Catering Service,Pasta Salad,Vine-Stalk Eg. Tomato; Root (Eg. Potato); Pasta; Sauces/ Dressings,Clostridium perfringens; Bacillus cereus,Clostridium,Confirmed; Suspected,22,0,0
2005,June,California,Prison/Jail,"Spread/Filling, Other",Egg,Salmonella enterica; Salmonella enterica; Salmonella enterica,Salmonella,Confirmed; Confirmed; Confirmed,157,1,0
2005,November,Multistate,Private Home/Residence,Stuffed Chicken,Chicken,Salmonella enterica; Salmonella enterica; Salmonella enterica,Salmonella,Confirmed; Confirmed; Confirmed,44,2,0
2005,May,New York,Restaurant; Private Home/Residence,Potato Salad,Root (Eg. Potato),Salmonella enterica; Clostridium perfringens; Salmonella enterica,Salmonella,Confirmed; Confirmed; Confirmed,35,0,0
2005,May,Multistate,N/A,"Orange Juice, Unpasteurized",N/A,Salmonella enterica; Salmonella enterica,Salmonella,Confirmed; Confirmed,157,N/A,N/A
2005,July,Colorado,Restaurant; Catering Service,N/A,N/A,Salmonella enterica; Salmonella enterica,Salmonella,Confirmed; Confirmed,100,1,0
2005,May,South Carolina,N/A,"Pork, Bbq; Ribs, Pork",N/A,Staphylococcus aureus; Bacillus cereus,Staphylococcus,Confirmed; Confirmed,32,6,0
2005,August,Michigan,Religious Facility,Taco Meat - Ground Beef,Ground Beef,Bacillus cereus,Bacillus,Confirmed,27,0,0
2005,March,North Carolina,Religious Facility,"Beef, Unspecified; Cake, Custard-Filled",N/A,Bacillus cereus,Bacillus,Confirmed,6,0,0
2005,July,Minnesota,Restaurant,Tzatziki Sauce,N/A,Bacillus cereus,Bacillus,Confirmed,4,0,0
2005,February,Texas,N/A,"Queso Fresco, Unpasteurized",N/A,Brucella unknown,Brucella,Confirmed,2,2,0
2005,September,Colorado,Prison/Jail,"Milk, 1% Milk Pasteurized",Milk,Campylobacter jejuni,Campylobacter,Confirmed,200,1,0
2005,May,Iowa,Religious Facility,"Whole Milk, Unpasteurized",Milk,Campylobacter jejuni,Campylobacter,Confirmed,33,0,0
2005,May,Oklahoma,Catering Service,"Fajita, Chicken; Fajita, Beef; Onions; Peppers, Unspecified",N/A,Campylobacter jejuni,Campylobacter,Confirmed,28,1,0
2005,December,Colorado,N/A,"Whole Milk, Unpasteurized",Milk,Campylobacter jejuni,Campylobacter,Confirmed,22,0,0
2005,June,Alaska,N/A,"Peas, Green",N/A,Campylobacter jejuni,Campylobacter,Confirmed,19,0,0
2005,June,Colorado,Grocery Store,"Potato Salad; Beans, Baked",N/A,Campylobacter jejuni,Campylobacter,Confirmed,14,0,0
2005,September,Arizona,N/A,"Whole Milk, Unpasteurized",N/A,Campylobacter jejuni,Campylobacter,Confirmed,13,1,0
2005,October,Wisconsin,Religious Facility,"Liver, Chicken",N/A,Campylobacter jejuni,Campylobacter,Confirmed,13,2,0
2005,April,Oklahoma,N/A,"Whole Milk, Unpasteurized; Goat Milk, Unpasteurized",Milk; Milk,Campylobacter jejuni,Campylobacter,Confirmed,11,3,0
2005,June,Oklahoma,Restaurant; Private Home/Residence; Grocery Store,N/A,N/A,Campylobacter jejuni,Campylobacter,Confirmed,11,1,0
2005,August,Hawaii,Restaurant,N/A,N/A,Campylobacter jejuni,Campylobacter,Confirmed,11,0,0
2005,September,Utah,N/A,"Whole Milk, Unpasteurized",Milk,Campylobacter jejuni,Campylobacter,Confirmed,11,0,0
2005,August,Washington,Restaurant,"Liver, Chicken",N/A,Campylobacter unknown,Campylobacter,Confirmed,9,0,0
2005,May,Illinois,Restaurant,N/A,N/A,Campylobacter unknown,Campylobacter,Confirmed,8,5,0
2005,July,Wyoming,Private Home/Residence,N/A,N/A,Campylobacter jejuni,Campylobacter,Confirmed,6,0,0
2005,October,Pennsylvania,Private Home/Residence,N/A,N/A,Campylobacter jejuni,Campylobacter,Confirmed,5,N/A,N/A
2005,November,Colorado,N/A,"Whole Milk, Unpasteurized",Milk,Campylobacter jejuni,Campylobacter,Confirmed,5,0,0
2005,May,Kansas,N/A,"Whole Milk, Unpasteurized",N/A,Campylobacter jejuni,Campylobacter,Confirmed,4,0,0
2005,May,Maryland,Restaurant,Caesar Salad,N/A,Campylobacter jejuni,Campylobacter,Confirmed,4,0,0
